model	fold	n_train	n_test	n_features	clr	roc_auc	pr_auc	balanced_accuracy	macro_f1	runtime_s
logreg	0	27	7	55	True	0.8	0.75	0.5	0.4166666666666667	0.012302637100219727
linear_svm	0	27	7	55	True	0.8	0.75	0.5	0.4166666666666667	0.00957179069519043
xgb	0	27	7	55	True	0.9	0.8333333333333333	0.5	0.4166666666666667	0.10031318664550781
elasticnet	0	27	7	55	True	0.8	0.75	0.5	0.4166666666666667	0.027758359909057617
catboost	0	27	7	55	True	1.0	1.0	0.5	0.4166666666666667	0.224470853805542
logreg	1	27	7	55	True	1.0	1.0	0.75	0.7878787878787878	0.010851621627807617
linear_svm	1	27	7	55	True	1.0	1.0	0.75	0.7878787878787878	0.008758068084716797
xgb	1	27	7	55	True	1.0	1.0	0.75	0.7878787878787878	0.027765512466430664
elasticnet	1	27	7	55	True	1.0	1.0	0.75	0.7878787878787878	0.015289068222045898
catboost	1	27	7	55	True	0.9	0.8333333333333333	0.75	0.7878787878787878	0.18854284286499023
logreg	2	27	7	55	True	0.8	0.75	0.75	0.7878787878787878	0.010564565658569336
linear_svm	2	27	7	55	True	0.8	0.75	0.75	0.7878787878787878	0.008508443832397461
xgb	2	27	7	55	True	0.9	0.8333333333333333	0.75	0.7878787878787878	0.06108212471008301
elasticnet	2	27	7	55	True	0.7	0.7	0.75	0.7878787878787878	0.015260457992553711
catboost	2	27	7	55	True	0.8	0.75	0.5	0.4166666666666667	0.17055058479309082
logreg	3	27	7	55	True	0.8	0.5833333333333333	0.9	0.8444444444444444	0.013570547103881836
linear_svm	3	27	7	55	True	0.9	0.8333333333333333	0.75	0.7878787878787878	0.008954286575317383
xgb	3	27	7	55	True	0.6	0.45	0.4	0.36363636363636365	0.02379465103149414
elasticnet	3	27	7	55	True	0.9	0.8333333333333333	0.9	0.8444444444444444	0.017125368118286133
catboost	3	27	7	55	True	0.5	0.3666666666666667	0.4	0.36363636363636365	0.18906521797180176
logreg	4	28	6	55	True	1.0	1.0	1.0	1.0	0.010256767272949219
linear_svm	4	28	6	55	True	1.0	1.0	1.0	1.0	0.00891423225402832
xgb	4	28	6	55	True	1.0	1.0	1.0	1.0	0.025647878646850586
elasticnet	4	28	6	55	True	1.0	1.0	1.0	1.0	0.014459609985351562
catboost	4	28	6	55	True	1.0	1.0	0.5	0.45454545454545453	0.18967032432556152
