classifier	scvi_type	fold	roc_auc	n_train	n_test
xgb	global	0	1.0	24	6
xgb	global	1	1.0	24	6
xgb	global	2	0.125	24	6
xgb	global	3	1.0	24	6
xgb	global	4	0.5	24	6
xgb	compartment	0	0.7777777777777779	24	6
xgb	compartment	1	1.0	24	6
xgb	compartment	2	0.875	24	6
xgb	compartment	3	1.0	24	6
xgb	compartment	4	1.0	24	6
linear_svm	global	0	0.888888888888889	24	6
linear_svm	global	1	0.888888888888889	24	6
linear_svm	global	2	0.375	24	6
linear_svm	global	3	1.0	24	6
linear_svm	global	4	0.375	24	6
linear_svm	compartment	0	1.0	24	6
linear_svm	compartment	1	1.0	24	6
linear_svm	compartment	2	0.5	24	6
linear_svm	compartment	3	1.0	24	6
linear_svm	compartment	4	1.0	24	6
logreg	global	0	0.7777777777777778	24	6
logreg	global	1	1.0	24	6
logreg	global	2	0.25	24	6
logreg	global	3	1.0	24	6
logreg	global	4	0.5	24	6
logreg	compartment	0	1.0	24	6
logreg	compartment	1	1.0	24	6
logreg	compartment	2	0.5	24	6
logreg	compartment	3	1.0	24	6
logreg	compartment	4	1.0	24	6
